,City,State,Census 2010 Total Population,"2018 Population Estimate (as of July 1, 2018)",2017 ACS 5-Year Population Estimate,Median Age,Number of Companies,Educational Attainment: Percent high school graduate or higher,Total housing units,Median Household Income,Foreign Born Population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (of any race),"White alone, Not Hispanic or Latino",Veterans
25,Pittsburgh,PA,244769,"265,098",256031,42.6,25545,90.50%,131356,50622,27045,177116,58494,501,8515,126,3204,8075,19555,161439,20786
26,Cleveland,OH,396815,"383,793",388812,35.8,32679,79.20%,211902,27854,20113,154718,196006,1931,8026,60,12479,15592,43466,131338,19757
27,Seattle,WA,608660,"744,955",688245,35.7,83323,94.20%,334739,79565,123919,472347,48884,3799,99728,2675,15155,45657,44505,449138,29816
28,Cincinnati,OH,296943,"302,605",298957,32.4,26855,86.80%,161881,36429,16378,150663,128105,442,5872,399,3465,10011,10821,144219,12790
29,Kansas City,MO,459787,"491,918",476974,35.2,39486,89.10%,229508,50136,37090,287517,136927,1933,13163,690,21173,15571,48521,264602,26439
30,St. Louis,MO,319294,"302,838",314867,35.2,30040,85.70%,176159,38664,21249,144506,149895,887,9798,177,2991,6613,12280,135150,17137
31,Baltimore,MD,620961,"602,495",619796,35,50735,84.20%,294858,46641,49565,187725,389222,1886,15855,309,10412,14387,30729,170916,29428
32,Charlotte,NC,731424,"872,498",826060,33.9,81973,88.60%,343222,58202,135701,413212,289406,2523,51437,483,45268,23731,115379,348789,35382
33,Indianapolis,IN,820445,"867,125",853431,34.1,69366,85.50%,383677,44709,79098,527521,239617,2299,25496,372,32343,25783,86362,477245,45024
34,Nashville,TN,601222,"669,053",654187,34.1,68228,87.80%,288871,52858,83921,412563,181681,1845,23617,437,17797,16247,67765,363838,30865
35,Milwaukee,WI,594833,"592,025",599086,31.3,38017,83.00%,257810,38289,58053,274202,233178,3192,23888,154,40864,23608,110388,214553,22270
36,New Orleans,LA,343829,"391,006",388182,35.9,41506,85.90%,191633,38721,22781,132202,232127,602,11567,119,4764,6801,21448,118660,16793
37,Buffalo,NY,261310,"256,304",259574,32.8,15178,83.90%,132066,34268,24538,123613,96374,1139,13604,86,14971,9787,29311,114231,11964
38,Orlando,FL,238300,"285,713",269414,33.3,37544,90.10%,127869,45436,53427,163655,70318,628,11645,73,15281,7814,79890,102760,11714
39,Portland,OR,583776,"653,115",630331,36.8,75583,91.80%,277499,61532,88203,487660,35929,4871,49200,3914,14399,34358,61214,447488,30076
40,Columbus,OH,787033,"892,533",852144,32.2,67994,89.10%,385850,49478,100383,515163,240920,1627,44715,423,14643,34653,50707,484096,40766
41,Salt Lake City,UT,186440,"200,591",194188,31.9,24710,88.50%,83676,54009,31835,143072,3930,2522,10429,3383,24897,5955,41439,127943,7260
42,San Diego,CA,1307402,"1,425,976",1390966,34.3,135754,87.90%,533973,71535,366602,900052,88774,6094,233477,5703,86463,70403,417128,599633,90552
43,San Antonio,TX,1327407,"1,532,233",1461623,33.2,117546,82.00%,540148,49711,207155,1170477,102197,9733,40127,1462,97544,40083,935458,366363,105608
44,Sacramento,CA,466488,"508,529",489650,34.3,38244,84.40%,194917,54615,110822,237508,65822,3503,91390,8007,50316,33104,138483,162206,22744
45,Las Vegas,NV,583756,"644,644",621662,37.4,55856,84.00%,252912,53159,131944,389475,76145,4091,41394,4479,76183,29895,203054,275845,42597
46,Jacksonville,FL,821784,"903,889",867313,35.8,70192,89.00%,375556,50555,91570,513276,269175,1875,41265,850,12610,28262,78930,455227,78455
47,Oklahoma City,OK,579999,"649,021",629191,34.1,58815,85.60%,267357,51581,75877,425997,91265,17542,28269,465,24603,41050,120183,340999,41183
48,Memphis,TN,646889,"650,618",654723,33.7,70891,84.50%,298310,38230,41095,191242,418444,1259,10728,123,22141,10786,45741,170708,31931
49,Raleigh,NC,403892,"469,298",449477,33.1,43895,91.50%,194768,61505,60032,265366,129711,1554,20476,345,20520,11505,49226,240400,20283
50,Green Bay,WI,104057,"104,879",104796,34,7022,87.10%,45038,45473,9544,81128,3964,3654,4200,16,6686,5148,15098,74466,5587
